rank,skill,category,demand_count,percentage
1,komunikatif,soft_skill,20,20.0
2,microsoft office,uncategorized,13,13.0
3,bimbingan anak berkebutuhan khusus,uncategorized,7,7.0
4,microsoft excel,uncategorized,5,5.0
5,menangani anak - anak berkebutuhan khusus,uncategorized,5,5.0
6,dalam mengajar,uncategorized,5,5.0
7,sales,uncategorized,4,4.0
8,penjualan,uncategorized,4,4.0
9,canva,uncategorized,3,3.0
10,accurate,uncategorized,3,3.0
11,microsoft ms word,uncategorized,3,3.0
12,capcut,uncategorized,3,3.0
13,sketchup,uncategorized,3,3.0
14,adobe illustrator,uncategorized,2,2.0
15,photoshop,tools,2,2.0
16,negosiasi,programming_language,2,2.0
17,adobe photoshop,uncategorized,2,2.0
18,e-commerce,uncategorized,2,2.0
19,e-faktur,uncategorized,2,2.0
20,critical and analytical thinking,uncategorized,2,2.0
21,team work,uncategorized,2,2.0
22,promosi dan penjualan,uncategorized,2,2.0
23,social media,uncategorized,2,2.0
24,leadership,soft_skill,2,2.0
25,negoisasi,uncategorized,2,2.0
26,video editing,uncategorized,2,2.0
27,content creator,uncategorized,2,2.0
28,customer service,uncategorized,2,2.0
29,pelayanan kepada pelanggan,uncategorized,2,2.0
30,event and communication,uncategorized,1,1.0
31,digital marketing,uncategorized,1,1.0
32,event concept,uncategorized,1,1.0
33,well organised,uncategorized,1,1.0
34,clo d,uncategorized,1,1.0
35,d design,tools,1,1.0
36,and rendering,uncategorized,1,1.0
37,visualization,uncategorized,1,1.0
38,persuasif,uncategorized,1,1.0
39,penjualan dan pemasaran,uncategorized,1,1.0
40,mengendarai sepeda motor,uncategorized,1,1.0
41,market place shopee,uncategorized,1,1.0
42,tokopedia,uncategorized,1,1.0
43,pajak kup,uncategorized,1,1.0
44,spt badan dan spt orang pribadi,uncategorized,1,1.0
45,pajak masa tahunan,uncategorized,1,1.0
46,pajak import pph,uncategorized,1,1.0
47,pph,uncategorized,1,1.0
48,teamwork,soft_skill,1,1.0
49,warehouse,uncategorized,1,1.0
50,mengontrol sistem pergudangan dan melakukan stock opname,uncategorized,1,1.0
51,warehouse coordinator,uncategorized,1,1.0
52,logistik atau pergudangan mengatur,uncategorized,1,1.0
53,logistic and warehousing,uncategorized,1,1.0
54,pengiriman,uncategorized,1,1.0
55,arsip dokumen document control,uncategorized,1,1.0
56,mengelola arsip,uncategorized,1,1.0
57,property,uncategorized,1,1.0
58,mampu membuat skincare alami.,uncategorized,1,1.0
59,knowledge make-up and skincare ingredients.,uncategorized,1,1.0
60,problem solving cepat menemukan solusi untuk masalah administratif,uncategorized,1,1.0
61,farmasi instrumen,uncategorized,1,1.0
62,seperti dokumen yang hilang atau jadwal yang bentrok.,uncategorized,1,1.0
63,analisis kelayakan produk-produk skincare,uncategorized,1,1.0
64,research abilities,uncategorized,1,1.0
65,research analysis,uncategorized,1,1.0
66,negosiasi dan komunikasi,uncategorized,1,1.0
67,book editing proofreading,uncategorized,1,1.0
68,microsoft ms excel,uncategorized,1,1.0
69,book editor,uncategorized,1,1.0
70,proof-reading,uncategorized,1,1.0
71,microsoft ms powerpoint,uncategorized,1,1.0
72,administrasi,uncategorized,1,1.0
73,aktif dalam berkomunikasi,uncategorized,1,1.0
74,sosial media creative,uncategorized,1,1.0
75,video editing and videographer,uncategorized,1,1.0
76,design grafis,uncategorized,1,1.0
77,video audio editing,uncategorized,1,1.0
78,communication skill,uncategorized,1,1.0
79,marketing and sales.,uncategorized,1,1.0
80,promotion,uncategorized,1,1.0
81,presentasi,uncategorized,1,1.0
82,social media analitic,uncategorized,1,1.0
83,copywriting,uncategorized,1,1.0
84,excell,uncategorized,1,1.0
85,data entry,uncategorized,1,1.0
86,tanggung jawab dan dapat diandalkan,uncategorized,1,1.0
87,manejemen,uncategorized,1,1.0
88,instalasi hardware,uncategorized,1,1.0
89,teknikal support,uncategorized,1,1.0
90,it hardware dan software,uncategorized,1,1.0
91,aba therapy,uncategorized,1,1.0
92,disiplin,uncategorized,1,1.0
93,bekerja keras dan tepat waktu,uncategorized,1,1.0
94,mic. excel,uncategorized,1,1.0
95,mic. word,uncategorized,1,1.0
96,mic. power point dan accsess,uncategorized,1,1.0
97,bisa menyetir mobil,uncategorized,1,1.0
98,menyetir mobil manual matic dengan baik dan lancar,uncategorized,1,1.0
99,menyetir mobil.,uncategorized,1,1.0
100,bisa menyetir mobil ada sim.,uncategorized,1,1.0
